ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;situacao_compra_item_processo;criterio_julgamento;objeto_processo;unnamed_15;nome_empresarial_nome_fornecedor;unnamed_17;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1030;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1031018 000894/2025;2025-11-10;2025-12-19;9493147;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Execução da obra de construção do novo Fórum da Comarca de São Gonçalo do Sapucaí/MG.;;CG ENGENHARIA LTDA;;09.163.038/0001-50;433,0;2025-11-27;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=641042;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=208137;20740831,61;18417858,46;18417858,46
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1250;POLICIA MILITAR DE MINAS GERAIS;1259969 000074/2025;2025-11-05;2025-12-08;0;;Concluído;Deserto;Por lote;Concessão administrativa onerosa de uso de espaço público para exploração de atividade de lanchonete, localizado na rua Pedro Duarte, S/n, Bairro Romana, Diamantina/MG;;INEXISTENTE;;;71,0;2025-11-05;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=640291;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000008/2025;2025-04-01;2025-07-14;9476536;SIM;Concluído;Com Fornecedor Vencedor;Por lote;SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A CONCLUSÃO DA IMPLEMENTAÇÃO DO PTTS ¿ PROJETO DE TRABALHO TÉCNICO SOCIAL- PROGRAMA DE REQUALIFICAÇÃO URBANA E AMBIENTAL E CONTROLE DE CHEIAS DO CÓRREGO FERRUGEM;;NMC PROJETOS E CONSULTORIA LTDA;;09.150.644/0001-30;207,0;2025-05-19;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=623675;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197944;2229343,28;1935938,33;0,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000008/2025;2025-09-12;2025-07-14;9476536;SIM;Concluído;Com Fornecedor Vencedor;Por lote;SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A CONCLUSÃO DA IMPLEMENTAÇÃO DO PTTS ¿ PROJETO DE TRABALHO TÉCNICO SOCIAL- PROGRAMA DE REQUALIFICAÇÃO URBANA E AMBIENTAL E CONTROLE DE CHEIAS DO CÓRREGO FERRUGEM;;NMC PROJETOS E CONSULTORIA LTDA;;09.150.644/0001-30;207,0;2025-05-19;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=623675;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197944;0,0;0,0;1935938,33
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1510;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;1511189 000001/2025;2025-03-26;2025-06-23;9471760;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Reforma Caxambu;;CONSTRUTORA E INCORPORADORA TERSAN LTDA;;43.730.128/0001-13;279,0;2025-05-29;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=618878;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=196631;1240615,64;1240615,64;1240615,64
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1510;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;1511189 000255/2025;2025-10-09;2025-12-19;9492908;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Prestação de serviços de obra de engenharia para elaboração de projetos executivos e execução de reforma e adequação na DPC Carangola, rua Ladeira Carlos Gomes, s/nº, Caixa D´água, Carangola/MG.;;BAVIERA ENGENHARIA LTDA;;32.932.291/0001-42;801,0;2025-11-04;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=638975;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=206537;519983,55;517331,63;517331,63
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1510;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;1511189 000304/2025;2025-11-03;2026-01-20;9498629;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Prestação de serviço para fornecimento e implantação de usina de geração de energia solar fotovoltaica, destinado para o Centro de Treinamento Avançado - (CTA),  Estrada de Sabará e Ravena s/n°.;;MY SUN ENERGIA SOLAR ACESSIVEL LTDA;;13.703.232/0001-58;864,0;2025-11-28;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=641324;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=213689;620655,0;584995,0;584995,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2200;INST. EST. DO PATRIMONIO HIST. E ARTISTICO DE MG;2201002 000024/2025;2025-10-02;2025-11-12;0;;Concluído;Deserto;Por lote;Contratação de serviços técnicos especializados para elaboração de Relatório Antropológico da Comunidade Quilombola Carrapatos de Tabatinga, em Bom Despacho e Cadernos do Patrimônio Cultural...;;INEXISTENTE;;;76,0;2025-10-30;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=637382;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2200;INST. EST. DO PATRIMONIO HIST. E ARTISTICO DE MG;2201002 000031/2025;2025-11-12;2025-12-02;9488044;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados para elaboração de Relatório Antropológico da Comunidade_x000D_ Quilombola Carrapatos de Tabatinga, em Bom Despacho e Cadernos do Patrimônio Cultural...;;CULTURA, MEIO AMBIENTE E PATRIMONIO CAMPO LTDA;;16.516.261/0001-07;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=640980;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200024;100000,0;100000,0;100000,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301520 000001/2025;2025-01-23;2025-03-18;9459022;SIM;Concluído;Com Fornecedor Vencedor;Por item;Execução da Complementação e pavimentação do trecho Pimenta - Entr° BR-265(Guapé) - LOTE 01, Pimenta - Entr° BR-265(Guapé) - LOTE 02;;LCM CONSTRUCAO E COMERCIO S.A;;19.758.842/0001-35;19,0;2025-02-05;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619198;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194474;13090078,19;9817558,64;15754075,69
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301520 000001/2025;2025-01-23;2025-03-18;9459023;SIM;Concluído;Com Fornecedor Vencedor;Por item;Execução da Complementação e pavimentação do trecho Pimenta - Entr° BR-265(Guapé) - LOTE 01, Pimenta - Entr° BR-265(Guapé) - LOTE 02;;LCM CONSTRUCAO E COMERCIO S.A;;19.758.842/0001-35;19,0;2025-02-05;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619198;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194486;39434905,89;29576179,41;36482782,31
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301931 000002/2025;2025-02-04;2025-03-31;9468567;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados de consultoria técnica para levantamentos e avaliações de serviços de engenharia rodoviária nas rodovias sob a jurisdição do DER-MG;;SYSTRA ENGENHARIA E CONSULTORIA LTDA;;52.635.422/0003-07;33,0;2025-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195462;12267717,16;9200787,87;9200787,87
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301931 000002/2025;2025-02-04;2025-03-31;9468573;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados de consultoria técnica para levantamentos e avaliações de serviços de engenharia rodoviária nas rodovias sob a jurisdição do DER-MG;;STRATA ENGENHARIA LTDA;;38.743.357/0001-32;33,0;2025-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195450;12291296,66;9218472,49;9218472,49
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301931 000002/2025;2025-02-04;2025-03-31;9468704;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados de consultoria técnica para levantamentos e avaliações de serviços de engenharia rodoviária nas rodovias sob a jurisdição do DER-MG;;PLANEP PLANEJAMENTO ESTUDOS E PROJETOS LTDA;;10.417.566/0001-77;33,0;2025-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195517;12197245,67;9147934,25;9147934,25
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301931 000002/2025;2025-02-04;2025-03-31;9469794;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados de consultoria técnica para levantamentos e avaliações de serviços de engenharia rodoviária nas rodovias sob a jurisdição do DER-MG;;RTA ENGENHEIROS CONSULTORES LTDA;;04.208.867/0001-98;33,0;2025-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195609;12379211,81;9284408,86;9284408,86
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301931 000002/2025;2025-02-04;2025-03-31;9470136;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de serviços técnicos especializados de consultoria técnica para levantamentos e avaliações de serviços de engenharia rodoviária nas rodovias sob a jurisdição do DER-MG;;GEOSISTEMAS ENGENHARIA E PLANEJAMENTO LTDA;;70.073.275/0001-30;33,0;2025-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=619812;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195813;12547127,86;9410345,9;9410345,89
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;2311076 000547/2025;2025-09-03;2025-12-09;9496712;SIM;Concluído;Com Fornecedor Vencedor;Por lote;EMPRESA ESPECIALIZADA PARA A REFORMA DA ESCOLA HOSPITALAR CIRANDA DA VIDA E ADEQUAÇÃO DA SALA DE OPME;;R3 ENGENHARIA E ASSESSORIA LTDA;;46.442.456/0001-02;259,0;2025-09-26;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=633783;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=211933;136806,32;136806,32;136806,32
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;2311076 000682/2025;2025-10-08;2026-01-19;9495647;SIM;Concluído;Com Fornecedor Vencedor;Por lote;EMPRESA PARA REFORMA DA UTI ADULTO, PRONTO SOCORRO E ADEQUAÇÃO DO LABORATÓRIO DE PESQUISA EM SAÚDE;;M.T. SOARES;;30.654.772/0001-08;352,0;2025-11-25;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=638157;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=211379;415975,37;415975,37;415975,37
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;2311076 000682/2025;2025-10-08;2026-01-19;9495734;SIM;Concluído;Com Fornecedor Vencedor;Por lote;EMPRESA PARA REFORMA DA UTI ADULTO, PRONTO SOCORRO E ADEQUAÇÃO DO LABORATÓRIO DE PESQUISA EM SAÚDE;;R3 ENGENHARIA E ASSESSORIA LTDA;;46.442.456/0001-02;352,0;2025-11-25;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=638157;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=211457;52877,91;52877,91;52877,91
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2320;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG;2320310 000118/2025;2025-03-17;2026-02-26;0;;Concluído;Fracassado;Por lote;Serviços de elaboração e emissão de Laudo de Acessibilidade e Plano de Trabalho para o prédio do Hemocentro de Belo Horizonte da Hemominas._x000D_ SEI 2320.01.0002198/2025-12;;INEXISTENTE;;;482,0;2025-12-15;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=627698;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2460;AGENCIA DE DESENVOLVIMENTO DA RMVA;2461022 000009/2025;2025-05-08;2025-11-03;9484122;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Serviços técnicos especializados, mediante atividades de assessoria técnica e execução de ações que contemplem as medidas jurídicas, urbanísticas, ambientais, sociais e administrativas a REURB.;;VERSAURB GEOINFORMACAO, ENGENHARIA E ARQUITETURA LTDA;;17.200.610/0001-31;13,0;2025-06-06;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=628046;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199585;479592,57;385071,59;385071,59
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2460;AGENCIA DE DESENVOLVIMENTO DA RMVA;2461022 000011/2025;2025-05-08;2025-11-05;9486631;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Serviços técnicos especializados e execução de ações que contemplem as medidas jurídicas, urbanísticas, ambientais, sociais e administrativas em projeto de REURB-S.;;VERSAURB GEOINFORMACAO, ENGENHARIA E ARQUITETURA LTDA;;17.200.610/0001-31;12,0;2025-06-12;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=628050;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199894;1055919,38;865114,75;865114,75
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2460;AGENCIA DE DESENVOLVIMENTO DA RMVA;2461022 000012/2025;2025-05-08;2025-11-06;9486632;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Serviços técnicos especializados, mediante atividades de assessoria técnica e execução de ações que contemplem as medidas jurídicas, urbanísticas, ambientais, sociais e administrativas a REURB._x000D_ ;;VERSAURB GEOINFORMACAO, ENGENHARIA E ARQUITETURA LTDA;;17.200.610/0001-31;10,0;2025-06-13;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=628048;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199895;912047,5;747240,52;747240,52
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;2460;AGENCIA DE DESENVOLVIMENTO DA RMVA;2461022 000013/2025;2025-05-08;2025-11-07;9486633;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Serviços técnicos especializados, mediante atividades de assessoria técnica e execução de ações que contemplem as medidas jurídicas, urbanísticas, ambientais, sociais e administrativas a REURB._x000D_ ;;VERSAURB GEOINFORMACAO, ENGENHARIA E ARQUITETURA LTDA;;17.200.610/0001-31;11,0;2025-06-13;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=628049;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199896;409273,86;335318,07;335318,07
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência presencial;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000005/2025;2025-03-28;;9493121;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Concessão dos serviços públicos para exploração da infraestrutura, recuperação, operação, manutenção, monitoração, conservação, ampliação da capacidade e manutenção do nível de serviço rodoviário.;;CONCESSIONARIA ROTA DA LIBERDADE S.A;;64.169.459/0001-04;6658,0;2025-03-28;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=623167;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=207718;1830000000,0;1702476148,74;1702476148,74
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência presencial;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000012/2024;2025-07-08;;9447043;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de natureza continuada na modalidade empreitada por preços unitários dos serviços de Supervisão Geral, Monitoramento dos Parâmetros de Desempenho, Avaliação e Análise de Projetos, da expl;;CONSOL - ENGENHEIROS CONSULTORES LTDA;;17.210.063/0001-75;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=603455;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192484;0,0;0,0;1863048,43
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência presencial;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000012/2024;2025-07-16;;9447045;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de natureza continuada na modalidade empreitada por preços unitários dos serviços de Supervisão Geral, Monitoramento dos Parâmetros de Desempenho, Avaliação e Análise de Projetos, da expl;;SYSTRA ENGENHARIA E CONSULTORIA LTDA;;52.635.422/0001-37;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=603455;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192464;0,0;0,0;586007,57
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência presencial;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000012/2024;2025-11-07;;9447043;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de natureza continuada na modalidade empreitada por preços unitários dos serviços de Supervisão Geral, Monitoramento dos Parâmetros de Desempenho, Avaliação e Análise de Projetos, da expl;;CONSOL - ENGENHEIROS CONSULTORES LTDA;;17.210.063/0001-75;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=603455;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192484;0,0;0,0;2549858,14
