ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_original_formatado;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;item_material_servico;situacao_compra_item_processo;criterio_julgamento;objeto_processo;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;SERVICOS DE COMPUTACAO EM NUVEM - INFRAESTRUTURA COMO SERVICO (IAAS) -;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;1480156,57
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;SUPORTE TECNICO A AMBIENTE OPERACIONAL DE SERVIDORES -  HORARIO COMERCIAL;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;65020,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;SUPORTE TECNICO DO SERVICO DE FIREWALL DE APLICACAO WEB WAF;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;2740,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000028/2026;2026-03-04;;9513129;SIM;Concluído;ACESSO A SOLUCAO EM NUVEM PROID - SERPRO;Com Fornecedor Vencedor;Por lote;Prestação de serviço relativo à Identidade Nacional do Profissional - ProID, destinada a viabilizar a emissão, gestão e disponibilização digital de Carteira de Identidade Funcional.;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO);33.683.111/0001-07;;;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=222239;5165,0;5165,0;5165,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ACESSO ADICIONAL BUSINESS INTELLIGENCE - MODALIDADE RELATORIOS GERENCIAIS;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;6480,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ACESSO A REDE VPN USUARIO (VPN-U) - REDE DE CONEXAO SEGURA;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;22592,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ACESSO A SOLUCAO BUSINESS INTELLIGENCE- MODALIDADE RELATORIOS GERENCIAIS;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;32864,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ACESSO VPN ESTACAO DE TRABALHO (VPN-E) -;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;35454,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ACESSO VPN LOCAL (VPN-L) - REDE DE CONEXAO SEGURA;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;2904,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;ASSOCIACAO DE ENDERECO IP A TERMINAL -;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;108486,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;1171763,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000065/2025;2026-04-13;;9488815;SIM;Concluído;SUPORTE TECNICO A AMBIENTE OPERACIONAL DE SERVIDORES -  HORARIO COMERCIAL;Com Fornecedor Vencedor;Por lote;Prestação de serviços essencias da Prodemge, incluindo: Acesso VPN, Serviços Rede Governo, Acesso ao Ambiente Mainframe, Acesso a Soluções de Business Intelligence e Suporte técnico a Ambientes de TIC;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6775,0;2025-12-04;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200082;0,0;0,0;20016,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000082/2024;2026-04-08;;9444083;SIM;Concluído;FIREWALL DE APLICACAO DE WEB - WAF ;Com Fornecedor Vencedor;Por lote;"Hospedagem de Sistemas em Ambiente Dedicado ¿ Baixa Plataforma;  Hospedagem em Infraestrutura Virtualizada;  Firewall de Aplicação Web - WAF.";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6613,0;2024-11-27;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=191814;0,0;0,0;2640,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000082/2024;2026-04-08;;9444083;SIM;Concluído;HOSPEDAGEM EM INFRAESTRUTURA VIRTUALIZADA;Com Fornecedor Vencedor;Por lote;"Hospedagem de Sistemas em Ambiente Dedicado ¿ Baixa Plataforma;  Hospedagem em Infraestrutura Virtualizada;  Firewall de Aplicação Web - WAF.";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6613,0;2024-11-27;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=191814;0,0;0,0;74372,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000082/2024;2026-04-08;;9444083;SIM;Concluído;HOSPEDAGEM SISTEMAS EM AMBIENTE DEDICADO - BAIXA PLATAFORMA-HOSPEDAGEM DE SISTEMAS;Com Fornecedor Vencedor;Por lote;"Hospedagem de Sistemas em Ambiente Dedicado ¿ Baixa Plataforma;  Hospedagem em Infraestrutura Virtualizada;  Firewall de Aplicação Web - WAF.";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6613,0;2024-11-27;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=191814;0,0;0,0;895443,33
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-02-20;;9447339;SIM;Concluído;DISPONIBILIZACAO E GESTAO DA PLATAFORMA DATA LAKE, INCLUINDO AMBIENTE PARA ARMAZENAMENTO E PROCESSAMENTO DE INFORMACOES;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;0,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-02-26;;9447339;SIM;Concluído;DESENVOLVIMENTO E MANUTENCAO EVOLUTIVA DE SOLUCAO DE BUSINESS INTELLIGENCE UTILIZANDO METODOLOGIA AGIL -;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;0,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-02-26;;9447339;SIM;Concluído;SUSTENTACAO DE SISTEMAS DE INFORMACAO - MANUTENCAO CORRETIVA , EMERGENCIALE SUPORTE TECNICO EM PRODUCAO;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;0,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-07-03;;9447339;SIM;Concluído;DESENVOLVIMENTO E MANUTENCAO EVOLUTIVA DE SOLUCAO DE BUSINESS INTELLIGENCE UTILIZANDO METODOLOGIA AGIL -;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;189120,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-07-03;;9447339;SIM;Concluído;DISPONIBILIZACAO E GESTAO DA PLATAFORMA DATA LAKE, INCLUINDO AMBIENTE PARA ARMAZENAMENTO E PROCESSAMENTO DE INFORMACOES;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;259872,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000086/2024;2026-07-03;;9447339;SIM;Concluído;SUSTENTACAO DE SISTEMAS DE INFORMACAO - MANUTENCAO CORRETIVA , EMERGENCIALE SUPORTE TECNICO EM PRODUCAO;Com Fornecedor Vencedor;Por lote;"Prestação de serviços de informática contidos na proposta comercial OCR750336 (Desen. e Manutenção Ágeis de Soluções de Business Intelligence; Plataforma Data Lake; Sustentação de Sistemas de info.)";COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6623,0;2024-12-26;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192755;0,0;0,0;50100,0
